A,B,OUT
-125,-46,5510
-125,-45,5510
-125,-44,5254
-125,-43,5254
-125,-42,5254
-125,-41,5254
-125,-40,4485
-125,-39,4485
-125,-38,4485
-125,-37,4485
-125,-36,4229
-125,-35,4229
-125,-34,4229
-125,-33,4229
-125,-32,3502
-125,-31,3502
-125,-30,3502
-125,-29,3502
-125,-28,3246
-125,-27,3246
-125,-26,3246
-125,-25,3246
-125,-24,2477
-125,-23,2477
-125,-22,2477
-125,-21,2477
-125,-20,2221
-125,-19,2221
-125,-18,2221
-125,-17,2221
-125,-16,1431
-125,-15,1431
-125,-14,1431
-125,-13,1431
-125,-12,1175
-125,-11,1175
-125,-10,1175
-125,-9,1175
-125,-8,405
-125,-7,405
-125,-6,405
-125,-5,405
-125,-4,149
-125,-3,149
-125,-2,149
-125,-1,149
-125,0,-70
-125,1,-70
-125,2,-70
-125,3,-70
-125,4,-326
-125,5,-326
-125,6,-326
-125,7,-326
-125,8,-1096
-125,9,-1096
-125,10,-1096
-125,11,-1096
-125,12,-1352
-125,13,-1352
-125,14,-1352
-125,15,-1352
-125,16,-2158
-125,17,-2158
-125,18,-2158
-125,19,-2158
-125,20,-2414
-125,21,-2414
-125,22,-2414
-125,23,-2414
-125,24,-3183
-125,25,-3183
-125,26,-3183
-125,27,-3183
-125,28,-3439
-125,29,-3439
-125,30,-3439
-125,31,-3439
-125,32,-4182
-125,33,-4182
-125,34,-4182
-125,35,-4182
-125,36,-4438
-125,37,-4438
-125,38,-4438
-125,39,-4438
-125,40,-5207
-125,41,-5207
-125,42,-5207
-125,43,-5207
-125,44,-5463
-125,45,-5463
-125,46,-5463
-125,47,-5463
-125,48,-6269
-125,49,-6269
-125,50,-6269
-125,51,-6269
-125,52,-6525
-125,53,-6525
-125,54,-6525
-125,55,-6525
-125,56,-7295
-125,57,-7295
-125,58,-7295
-125,59,-7295
-125,60,-7551
-125,61,-7551
-125,62,-7551
-125,63,-7551
-125,64,-8261
-125,65,-8261
-125,66,-8261
-125,67,-8261
-125,68,-8517
-125,69,-8517
-125,70,-8517
-125,71,-8517
-125,72,-9287
-125,73,-9287
-125,74,-9287
-125,75,-9287
-125,76,-9543
-125,77,-9543
-125,78,-9543
-125,79,-9543
-125,80,-10349
-125,81,-10349
-125,82,-10349
-125,83,-10349
-125,84,-10605
-125,85,-10605
-125,86,-10605
-125,87,-10605
-125,88,-11376
-125,89,-11376
-125,90,-11376
-125,91,-11376
-125,92,-11632
-125,93,-11632
-125,94,-11632
-125,95,-11632
-125,96,-12373
-125,97,-12373
-125,98,-12373
-125,99,-12373
-125,100,-12629
-125,101,-12629
-125,102,-12629
-125,103,-12629
-125,104,-13400
-125,105,-13400
-125,106,-13400
-125,107,-13400
-125,108,-13656
-125,109,-13656
-125,110,-13656
-125,111,-13656
-125,112,-14462
-125,113,-14462
-125,114,-14462
-125,115,-14462
-125,116,-14718
-125,117,-14718
-125,118,-14718
-125,119,-14718
-125,120,-15488
-125,121,-15488
-125,122,-15488
-125,123,-15488
-125,124,-15744
-125,125,-15744
-125,126,-15744
-125,127,-15744
-124,-128,15615
-124,-127,15615
-124,-126,15615
-124,-125,15615
-124,-124,15359
-124,-123,15359
-124,-122,15359
-124,-121,15359
-124,-120,14589
-124,-119,14589
-124,-118,14589
-124,-117,14589
-124,-116,14301
-124,-115,14301
-124,-114,14301
-124,-113,14301
-124,-112,13511
-124,-111,13511
-124,-110,13511
-124,-109,13511
-124,-108,13255
-124,-107,13255
-124,-106,13255
-124,-105,13255
-124,-104,12484
-124,-103,12484
-124,-102,12484
-124,-101,12484
-124,-100,12260
-124,-99,12260
-124,-98,12260
-124,-97,12260
-124,-96,11503
-124,-95,11503
-124,-94,11503
-124,-93,11503
-124,-92,11247
-124,-91,11247
-124,-90,11247
-124,-89,11247
-124,-88,10476
-124,-87,10476
-124,-86,10476
-124,-85,10476
-124,-84,10188
-124,-83,10188
-124,-82,10188
-124,-81,10188
-124,-80,9430
-124,-79,9430
-124,-78,9430
-124,-77,9430
-124,-76,9174
-124,-75,9174
-124,-74,9174
-124,-73,9174
-124,-72,8404
-124,-71,8404
-124,-70,8404
-124,-69,8404
-124,-68,8180
-124,-67,8180
-124,-66,8180
-124,-65,8180
-124,-64,7422
-124,-63,7422
-124,-62,7422
-124,-61,7422
-124,-60,7166
-124,-59,7166
-124,-58,7166
-124,-57,7166
-124,-56,6396
-124,-55,6396
-124,-54,6396
-124,-53,6396
-124,-52,6108
-124,-51,6108
-124,-50,6108
-124,-49,6108
-124,-48,5318
-124,-47,5318
-124,-46,5318
-124,-45,5318
-124,-44,5062
-124,-43,5062
-124,-42,5062
-124,-41,5062
-124,-40,4293
-124,-39,4293
-124,-38,4293
-124,-37,4293
-124,-36,4069
-124,-35,4069
-124,-34,4069
-124,-33,4069
-124,-32,3310
-124,-31,3310
-124,-30,3310
