 isweep, gm, id, cgg, cgs, cgd, cds, css, cdd, gds, vth, vdsat, vgs, vds, rds, wt, ft, gm_id
0.0001,0.000427619716,9.99999861e-05,8.1414933e-16, 1.00000000e-04,0.0001,0.0001, 1.00000000e-04,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,
0.00015,0.000469770086,0.000150006016,8.28528538e-16, 1.50000000e-04,0.00015,0.00015, 1.50000000e-04,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,
0.0002,0.000494139816,0.000200006242,8.36980634e-16, 2.00000000e-04 -1.09311017e-20,3.15865895e-16,4.73614052e-16, 1.87573762e-19,3.94487722e-05,0.769360581,0.254262496,1.27014911,1.27009111,25349.3314,590383811000.0,93962501800.0,2.47062197,
0.00025,0.000509503354,0.000250000496,8.42609108e-16, 2.50000000e-04 -3.67519507e-20,3.18037386e-16,4.76894725e-16, 1.98697138e-19,4.26101889e-05,0.769349056,0.275673234,1.36215055,1.36207805,23468.5653,604673447000.0,96236768100.0,2.03800938,
0.0003,0.000519431879,0.000299997908,8.46719019e-16, 3.00000000e-04 -4.92775103e-20,3.19507445e-16,4.79119324e-16, 2.01907752e-19,4.51064646e-05,0.76933789,0.294830266,1.45164114,1.45155414,22169.7712,613464287000.0,97635873600.0,1.73145167,
0.00035,0.000525759523,0.000349994109,8.499343130000001e-16, 3.50000000e-04 -5.43225628e-20,3.2057986e-16,4.80744348e-16, 2.00582706e-19,4.71292421e-05,0.769326941,0.312579262,1.53951373,1.53941223,21218.2491,618588419000.0,98451404600.0,1.50219535,
0.0004,0.000529572822,0.000399986756,8.52580789e-16, 4.00000000e-04 -5.51153073e-20,3.21407917e-16,4.82000351e-16, 1.96633102e-19,4.88006883e-05,0.769316113,0.329448781,1.62633574,1.62621974,20491.5143,621140927000.0,98857648900.0,1.32397589,
0.00045,0.000531569128,0.000449972921,8.5484048e-16, 4.50000000e-04 -5.34870432e-20,3.22074339e-16,4.83011896e-16, 1.91172111e-19,5.02032233e-05,0.769305334,0.345790959,1.71248941,1.71235891,19919.0397,621834296000.0,98968002000.0,1.18133582,
0.0005,0.000532218878,0.000499948387,8.56821368e-16, 5.00000000e-04 -5.04935129e-20,3.22626552e-16,4.83850487e-16, 1.84863404e-19,5.13949217e-05,0.769294544,0.36185207,1.79824261,1.79809761,19457.1753,621155001000.0,98859888900.0,1.06454765,
0.00055,0.000531850716,0.000549907222,8.58591142e-16, 5.50000000e-04 -4.67512870e-20,3.2309335000000003e-16,4.84559604e-16, 1.78110687e-19,5.24181138e-05,0.769283685,0.377810967,1.88378776,1.88362826,19077.3747,619445846000.0,98587868300.0,0.967164451,
