,n_embd,n_head,block_size,n_layer,mlp_expansion_factor,n_cols,MAC NUM,Wmem Depth,Cache Depth,best_val_loss,perplexity,Power (W),Area (um^2),Clock Period (ns) Entered,Clock_Min_Period,F_max (MHz),Clock Slack (ns),TTFT (ms),TPOT (ms),Throughput (tokens/s),Energy per token (mJ/token),EDP (mJ * ms),EADP (mJ * ms * um^2)
4638,512.0,2.0,512.0,14.0,8.0,8,32,2048,1024,3.767658,43.27858760023221,1.4288,219687601.408,5,6.069,164.77179106936893,-1.388,323.65928448000005,508.40029184,1.966954024319704,726.4023369809921,2.3510686063186777e-07,51.65006228677997
4639,512.0,2.0,512.0,14.0,8.0,16,8,4096,2048,3.767658,43.27858760023221,1.3632,219234626.9696,5,4.32,231.48148148148147,0.453,445.90694399999995,371.38268160000007,2.6926403667822507,506.26887155712006,2.2574880535836394e-07,49.491955131573754
4640,512.0,2.0,512.0,14.0,8.0,16,16,2048,1024,3.767658,43.27858760023221,1.6192,221248118.0672,5,4.06,246.30541871921184,0.726,217.8129009777778,340.10630826666664,2.9402571363537646,550.7001343453867,1.1994959383062064e-07,26.53862189794984
4641,512.0,2.0,512.0,14.0,8.0,32,4,4096,2048,3.767658,43.27858760023221,1.7152,222223933.952,5,4.091,244.4390124663896,0.693,427.4829539555555,351.6959607466667,2.8433650414322473,603.2289118726828,2.578700771587299e-07,57.30490299471873
4642,512.0,2.0,512.0,14.0,8.0,32,8,2048,1024,3.767658,43.27858760023221,2.0032,224403704.5248,5,3.779,264.6202699126753,1.022,205.14548394666667,316.56693077333335,3.1588896463604876,634.1468757251414,1.3009236771390081e-07,29.193209245401828
4643,512.0,2.0,512.0,14.0,8.0,64,4,2048,1024,3.767658,43.27858760023221,2.7008,230251793.3056,5,4.072,245.5795677799607,0.714,226.24017521777782,341.1115485866667,2.9315923314332717,921.2740704228695,2.0842920711606535e-07,47.99119871573837
4644,512.0,2.0,512.0,14.0,8.0,4,32,4096,2048,3.767658,43.27858760023221,0.896,216895763.8144,6,10.604,94.3040362127499,-5.162,1084.401800533333,911.6069341866664,1.0969640121180053,816.7998130312532,8.857391879263809e-07,192.11307770563874
4645,512.0,2.0,512.0,14.0,8.0,8,16,4096,2048,3.767658,43.27858760023221,0.9792,217709684.4288,6,6.347,157.5547502757208,-0.681,651.0882360888888,545.6402500266669,1.832709372065436,534.2909328261122,3.4787054101204037e-07,75.73478570580723
4646,512.0,2.0,512.0,14.0,8.0,8,32,2048,1024,3.767658,43.27858760023221,1.1952,219687601.408,6,6.259,159.76993129892952,-0.588,333.79196928000005,524.3165969066667,1.9072446035462984,626.6631966228481,2.0917514247604033e-07,45.95318532473796
4647,512.0,2.0,512.0,14.0,8.0,16,8,4096,2048,3.767658,43.27858760023221,1.1392,219234626.9696,6,4.51,221.72949002217297,1.253,465.51859199999996,387.7166421333333,2.5792031894676994,441.68679871829335,2.0561341664432733e-07,45.077580697964045
4648,512.0,2.0,512.0,14.0,8.0,16,16,2048,1024,3.767658,43.27858760023221,1.3536,221248118.0672,6,4.25,235.2941176470588,1.526,228.00611555555557,356.02261333333337,2.8088103467285372,481.912209408,1.0987893090591354e-07,24.310506678169272
4649,512.0,2.0,512.0,14.0,8.0,32,4,4096,2048,3.767658,43.27858760023221,1.4336,222223933.952,6,4.091,244.4390124663896,1.693,427.4829539555555,351.6959607466667,2.8433650414322473,504.1913293264214,2.1553319881923693e-07,47.89663533886939
4650,512.0,2.0,512.0,14.0,8.0,32,8,2048,1024,3.767658,43.27858760023221,1.6704,224403704.5248,6,3.908,255.88536335721597,1.886,212.1483332266667,327.3732642133334,3.0546171887400924,546.8443005419522,1.1601210689447753e-07,26.03354655684785
4651,512.0,2.0,512.0,14.0,8.0,64,4,2048,1024,3.767658,43.27858760023221,2.2528,230251793.3056,6,4.072,245.5795677799607,1.714,226.24017521777782,341.1115485866667,2.9315923314332717,768.4560966560429,1.7385564195463275e-07,40.0305733363505
4652,512.0,16.0,512.0,14.0,8.0,1,16,4096,2048,3.63187,37.783405564351284,1.936,217709684.4288,3,5.777,173.10022503029253,-3.081,592.6164707555556,496.63836842666666,2.013537542755639,961.4918812740265,5.697959253407333e-07,124.05009109474712
