Trial Number,Iteration Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,MAC NUM,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1034,40,5,5.643,-0.94,-0.94,3584,1536,16,4.702999999999999,40,0.5,False,0.0656,11377334.0352,35658,3345,32313,0.0281,5.48e-06,4.08e-08,0.0281,3.48e-05,7.43e-05,5.88e-08,0.000109,36515,37577,4870,5932,35658,11377334.0352,0,0,0,43
1035,41,6,5.833,-0.14,-0.14,3584,1536,16,5.6930000000000005,40,0.5,False,0.0549,11377334.0352,35658,3345,32313,0.0234,4.57e-06,4.08e-08,0.0234,2.9e-05,6.19e-05,5.88e-08,9.1e-05,36515,37577,4870,5932,35658,11377334.0352,0,0,0,42
1036,42,3,8.937,-6.407,-6.407,3584,1536,32,2.5299999999999994,40,0.5,False,0.197,22652349.9392,55737,5289,50448,0.0737,1.43e-05,6.24e-08,0.0738,8.04e-05,0.00018,8.58e-08,0.000261,57450,59280,8229,10059,55737,22652349.9392,0,0,0,69
1037,43,4,9.127,-5.607,-5.607,3584,1536,32,3.5200000000000005,40,0.5,False,0.148,22652349.9392,55737,5289,50448,0.0553,1.07e-05,6.24e-08,0.0553,6.03e-05,0.000135,8.58e-08,0.000195,57450,59280,8229,10059,55737,22652349.9392,0,0,0,66
1038,44,5,9.317,-4.807,-4.807,3584,1536,32,4.51,40,0.5,False,0.119,22652349.9392,55737,5289,50448,0.0442,8.58e-06,6.24e-08,0.0443,4.83e-05,0.000108,8.58e-08,0.000156,57450,59280,8229,10059,55737,22652349.9392,0,0,0,68
1039,45,6,9.507,-4.007,-4.007,3584,1536,32,5.5,40,0.5,False,0.0999,22652349.9392,55737,5289,50448,0.0369,7.15e-06,6.24e-08,0.0369,4.02e-05,9e-05,8.58e-08,0.00013,57450,59280,8229,10059,55737,22652349.9392,0,0,0,69
104,46,3,3.847,-1.049,-1.049,2048,128,16,2.798,40,0.5,False,0.0753,5036345.04,34863,3483,31380,0.0488,9.45e-06,4.28e-08,0.0488,5.56e-05,0.000116,5.68e-08,0.000171,35100,36162,4373,5435,34863,5036345.04,0,0,0,39
1040,47,3,4.187,-1.407,-1.407,4096,1536,4,2.7800000000000002,40,0.5,False,0.0428,3194249.9444,19525,1827,17698,0.0258,5.13e-06,2.38e-08,0.0258,4.01e-05,8.13e-05,3.69e-08,0.000121,19771,20257,2332,2818,19525,3194249.9444,0,0,0,26
1041,48,4,4.187,-0.407,-0.407,4096,1536,4,3.7800000000000002,40,0.5,False,0.0322,3194249.9444,19525,1827,17698,0.0194,3.85e-06,2.38e-08,0.0194,3.01e-05,6.1e-05,3.69e-08,9.11e-05,19771,20257,2332,2818,19525,3194249.9444,0,0,0,26
1042,49,5,4.187,0.593,0.593,4096,1536,4,4.78,40,0.5,False,0.0259,3194249.9444,19525,1827,17698,0.0155,3.08e-06,2.38e-08,0.0155,2.41e-05,4.88e-05,3.69e-08,7.29e-05,19771,20257,2332,2818,19525,3194249.9444,0,0,0,26
1043,50,6,4.187,1.593,1.593,4096,1536,4,5.78,40,0.5,False,0.0216,3194249.9444,19525,1827,17698,0.0129,2.56e-06,2.38e-08,0.0129,2.01e-05,4.07e-05,3.69e-08,6.07e-05,19771,20257,2332,2818,19525,3194249.9444,0,0,0,25
1044,51,3,3.985,-1.195,-1.195,4096,1536,8,2.79,40,0.5,False,0.0672,6295016.4808,25145,2372,22773,0.0334,6.47e-06,3e-08,0.0334,4.59e-05,9.7e-05,4.39e-08,0.000143,25636,26314,3262,3940,25145,6295016.4808,0,0,0,31
