A,B,OUT
-125,13,-1674
-125,14,-1802
-125,15,-1930
-125,16,-1994
-125,17,-2122
-125,18,-2250
-125,19,-2378
-125,20,-2506
-125,21,-2634
-125,22,-2762
-125,23,-2890
-125,24,-3018
-125,25,-3146
-125,26,-3274
-125,27,-3402
-125,28,-3530
-125,29,-3658
-125,30,-3786
-125,31,-3914
-125,32,-3970
-125,33,-4098
-125,34,-4226
-125,35,-4354
-125,36,-4482
-125,37,-4610
-125,38,-4738
-125,39,-4866
-125,40,-4994
-125,41,-5122
-125,42,-5250
-125,43,-5378
-125,44,-5506
-125,45,-5634
-125,46,-5762
-125,47,-5890
-125,48,-5954
-125,49,-6082
-125,50,-6210
-125,51,-6338
-125,52,-6466
-125,53,-6594
-125,54,-6722
-125,55,-6850
-125,56,-6978
-125,57,-7106
-125,58,-7234
-125,59,-7362
-125,60,-7490
-125,61,-7618
-125,62,-7746
-125,63,-7874
-125,64,-8010
-125,65,-8138
-125,66,-8266
-125,67,-8394
-125,68,-8522
-125,69,-8650
-125,70,-8778
-125,71,-8906
-125,72,-9034
-125,73,-9162
-125,74,-9290
-125,75,-9418
-125,76,-9546
-125,77,-9674
-125,78,-9802
-125,79,-9930
-125,80,-9994
-125,81,-10122
-125,82,-10250
-125,83,-10378
-125,84,-10506
-125,85,-10634
-125,86,-10762
-125,87,-10890
-125,88,-11018
-125,89,-11146
-125,90,-11274
-125,91,-11402
-125,92,-11530
-125,93,-11658
-125,94,-11786
-125,95,-11914
-125,96,-11970
-125,97,-12098
-125,98,-12226
-125,99,-12354
-125,100,-12482
-125,101,-12610
-125,102,-12738
-125,103,-12866
-125,104,-12994
-125,105,-13122
-125,106,-13250
-125,107,-13378
-125,108,-13506
-125,109,-13634
-125,110,-13762
-125,111,-13890
-125,112,-13954
-125,113,-14082
-125,114,-14210
-125,115,-14338
-125,116,-14466
-125,117,-14594
-125,118,-14722
-125,119,-14850
-125,120,-14978
-125,121,-15106
-125,122,-15234
-125,123,-15362
-125,124,-15490
-125,125,-15618
-125,126,-15746
-125,127,-15874
-124,-128,15943
-124,-127,15815
-124,-126,15687
-124,-125,15559
-124,-124,15431
-124,-123,15303
-124,-122,15175
-124,-121,15047
-124,-120,14919
-124,-119,14791
-124,-118,14663
-124,-117,14535
-124,-116,14407
-124,-115,14279
-124,-114,14151
-124,-113,14023
-124,-112,13959
-124,-111,13831
-124,-110,13703
-124,-109,13575
-124,-108,13447
-124,-107,13319
-124,-106,13191
-124,-105,13063
-124,-104,12935
-124,-103,12807
-124,-102,12679
-124,-101,12551
-124,-100,12423
-124,-99,12295
-124,-98,12167
-124,-97,12039
-124,-96,11983
-124,-95,11855
-124,-94,11727
-124,-93,11599
-124,-92,11471
-124,-91,11343
-124,-90,11215
-124,-89,11087
-124,-88,10959
-124,-87,10831
-124,-86,10703
-124,-85,10575
-124,-84,10447
-124,-83,10319
-124,-82,10191
-124,-81,10063
-124,-80,9999
-124,-79,9871
-124,-78,9743
-124,-77,9615
-124,-76,9487
-124,-75,9359
-124,-74,9231
-124,-73,9103
-124,-72,8975
-124,-71,8847
-124,-70,8719
-124,-69,8591
-124,-68,8463
-124,-67,8335
-124,-66,8207
-124,-65,8079
-124,-64,8007
-124,-63,7879
-124,-62,7751
-124,-61,7623
-124,-60,7495
-124,-59,7367
-124,-58,7239
-124,-57,7111
-124,-56,6983
-124,-55,6855
-124,-54,6727
-124,-53,6599
-124,-52,6471
-124,-51,6343
-124,-50,6215
-124,-49,6087
-124,-48,6023
-124,-47,5895
-124,-46,5767
-124,-45,5639
-124,-44,5511
-124,-43,5383
-124,-42,5255
-124,-41,5127
-124,-40,4999
-124,-39,4871
-124,-38,4743
